text,sentiment
"Achei legal que o app mostra quantas pessoas já agendaram a aula.","positive"
"Adorei que dá pra ver vídeos dos exercícios no aplicativo, ajuda muito.","positive"
"Instalei o app ontem e já tô usando tudo, muito intuitivo.","positive"
"Treinar ouvindo meu som no fone com o ambiente massa que tem lá é top.","positive"
"O app mostra meu histórico de treinos, achei isso bem útil.","positive"
"Hoje foi meu primeiro treino em grupo e adorei a vibe.","positive"
"Treino de hoje foi com circuito e gostei demais, bem dinâmico.","positive"
"Fiz aula de alongamento e me senti mais leve, show!","positive"
"Achei massa a variedade de horários, sempre tem opção.","positive"
"Aplicativo atualizou e ficou muito mais fácil de navegar. Parabéns!",positive
"Aula de spinning com o novo instrutor foi top demais!",positive
"Voltei pra academia depois de um tempo e fui super bem recebido.",positive
"O novo sistema de agendamento online tá funcionando direitinho.",positive
"Atendimento no WhatsApp muito rápido e eficiente.",positive
"Aplicativo ajudou demais a manter a rotina mesmo em dias corridos.",positive
"As aulas de funcional com a Jéssica são sensacionais!",positive
"Achei o app bem intuitivo e fácil de usar.",positive
"Tive um dia estressante, mas a yoga salvou meu humor. Obrigado!",positive
"A vibe da academia é sempre positiva, motivadora.",positive
"Consegui agendar minhas aulas pelo app sem nenhum problema.",positive
"O novo horário da musculação ficou ótimo pra mim.",positive
"Curti muito a playlist que colocaram no spinning hoje!",positive
"Nutricionista me atendeu super bem, muito didática.",positive
"Adorei o treino personalizado que recebi pelo app.",positive
"Voltei a treinar depois de uma lesão e fui muito bem orientado.",positive
"A iluminação nova da sala de funcional ficou show!",positive
"O suporte pelo app resolveu meu problema em minutos.",positive
"Parabéns pela limpeza dos aparelhos, tudo sempre muito limpo.",positive
"Instrutor novo do cross é muito atencioso e motivador.",positive
"Aplicativo permite acompanhar evolução de treino, achei massa.",positive
"Comecei essa semana e já estou me sentindo em casa!",positive
"Funcionários super educados e prestativos. Nota 10!",positive
"O plano mensal cabe no bolso e vale muito a pena.",positive
"Treino HIIT com o app me ajudou a perder peso rápido.",positive
"Turma de pilates é super animada, energia boa demais.",positive
"O sistema de check-in ficou mais prático e rápido agora.",positive
"Depois da atualização, o app não trava mais. Muito bom!",positive
"Achei a interface do app linda, parabéns ao time de design.",positive
"Primeira vez que um app fitness me entende de verdade.",positive
"Adoro que o app mostra minhas metas da semana.",positive
"O app manda notificações que me ajudam a não esquecer dos treinos.",positive
"Sinto evolução no meu condicionamento físico toda semana!",positive
"Meus treinos ficaram muito mais organizados com o app.",positive
"Novo espaço para alongamento ficou ótimo!",positive
"A música ambiente faz total diferença no treino. Mandaram bem!",positive
"O atendimento é péssimo e os aparelhos estão quebrados","negative"
"Equipamentos sujos e antigos","negative"
"Nunca tem toalha de papel nos banheiros","negative"
"Não tem ventilação adequada na sala de musculação","negative"
"O ar-condicionado vive quebrado","negative"
"As esteiras quase sempre estão com defeito","negative"
"Funcionários despreparados para lidar com o público","negative"
"O sistema de agendamento vive fora do ar","negative"
"Muita demora no atendimento da recepção","negative"
"O espaço é pequeno e superlotado","negative"
"Não consigo fazer minhas séries em paz com tanta gente","negative"
"Não tem variedade de pesos livres","negative"
"O banheiro está sempre com cheiro ruim","negative"
"A limpeza é negligenciada","negative"
"A música é alta demais e atrapalha","negative"
"As aulas coletivas são confusas e mal conduzidas","negative"
"Nunca tem instrutor disponível para ajudar","negative"
"As máquinas ficam com suor e ninguém limpa","negative"
"Os vestiários são apertados e mal iluminados","negative"
"O site nunca funciona direito para marcar aulas","negative"
"Já reclamei várias vezes e nada foi resolvido","negative"
"Tem muitos alunos e poucos profissionais","negative"
"As avaliações físicas não são confiáveis","negative"
"Faltam acessórios básicos, como colchonetes","negative"
"As TVs estão quebradas há meses","negative"
"A recepção é mal-educada","negative"
"Má organização nos horários das aulas","negative"
"Não há espaço suficiente para treino funcional","negative"
"As travas dos equipamentos estão com defeito","negative"
"Ambiente desorganizado","negative"
"Os instrutores ignoram quem é iniciante","negative"
"O chuveiro do vestiário está sempre frio","negative"
"A internet nunca funciona","negative"
"A academia é barulhenta demais","negative"
"Fui muito mal atendido ao pedir orientação","negative"
"A academia abre e fecha em horários confusos","negative"
"Já faz três dias que o ar-condicionado tá quebrado, ninguém resolve.","negative"
"A recepcionista foi grossa comigo quando perguntei sobre o plano.","negative"
"Tem aparelho enferrujado ali no canto, um perigo só.","negative"
"Não tem toalha de papel no banheiro, complicado isso.","negative"
"O som da academia é tão alto que dá dor de cabeça.","negative"
"Treino cheio demais, nem dá pra fazer os exercícios direito.","negative"
"Demoram demais pra responder no WhatsApp, aff!","negative"
"A luz da sala de spinning vive piscando, parece discoteca.","negative"
"Todo dia é um professor diferente, não dá pra ter continuidade.","negative"
"Os colchonetes tão sujos, parece que nunca lavam.","negative"
"Tentei cancelar meu plano e foi a maior burocracia.","negative"
"O aplicativo trava toda hora, atrapalha meu agendamento.","negative"
"A água do bebedouro tá quente, isso é inadmissível.","negative"
"O vestiário masculino fede, ninguém limpa aquilo ali?","negative"
"Faltou energia no meio do treino, e ninguém explicou nada.","negative"
"App bugou no meio do agendamento e me deixou na mão.","negative"
"Fui marcar treino no app e ele fechava sozinho toda vez.","negative"
"Aplicativo demora a carregar as aulas, cansa esperar.","negative"
"Professor novo pareceu meio perdido, ficou ruim de acompanhar.","negative"
"O treino de hoje foi fraquinho, não suei nada.","negative"
"O app não atualizou meu plano, fiquei sem acesso.","negative"
"Fui barrado na catraca por erro no aplicativo, vergonha demais.","negative"
"Prometeram aula de dança, mas trocaram sem avisar.","negative"
"Fui tentar falar com o suporte no app e ninguém respondeu.","negative"
"Tava animado pra aula de spinning, mas cancelaram sem aviso.","negative"
"O ar-condicionado tava desligado e ninguém aguentava o calor.","negative"
"O app marcou duas aulas no mesmo horário, deu confusão.","negative"
"Recebi notificação errada dizendo que perdi a aula, sendo que fui.","negative"
"Tava na expectativa da aula de hoje e foi mal organizada.","negative"
"O professor ficou mais no celular que olhando a turma.","negative"
"Aparelhos quebrados há semanas, ninguém resolve.",negative
"O app fecha sozinho toda vez que tento abrir o plano de treino.",negative
"A recepcionista foi grosseira comigo hoje.",negative
"Cancelaram minha aula e não avisaram, perdi viagem.",negative
"O ar-condicionado da sala de spinning tá quebrado faz dias.",negative
"O app atualizou e ficou mais confuso. Péssima usabilidade.",negative
"Demora demais pra responder no suporte pelo app.",negative
"Treino passado pelo app não condiz com meus objetivos.",negative
"A sala de musculação tava superlotada hoje, impossível treinar.",negative
"Fiquei esperando 15 minutos pra ser atendido na recepção.",negative
"Atualização do app bagunçou meu histórico de treinos.",negative
"Aula de funcional foi mal planejada, machuquei meu joelho.",negative
"Faltam instrutores no horário da noite, muito desorganizado.",negative
"Aparelho de abdominal sempre quebrado e sem previsão de conserto.",negative
"O chuveiro do vestiário masculino continua com água fria.",negative
"Fui mal atendido por um instrutor que ignorou minhas dúvidas.",negative
"O agendamento pelo app não confirma corretamente.",negative
"Tentei cancelar meu plano e ninguém respondeu pelo app.",negative
"Aplicativo não registra minha frequência corretamente.",negative
"Fila para os aparelhos está cada vez maior.",negative
"Estão trocando os professores sem aviso prévio.",negative
"Falta papel nos banheiros quase todo dia.",negative
"As notificações do app são muito invasivas.",negative
"O treino sugerido no app não se adapta ao meu nível.",negative
"O design novo do app ficou horrível, confuso.",negative
"Fui barrado no check-in mesmo com mensalidade em dia.",negative
"Demoram dias pra liberar acesso ao app após matrícula.",negative
"Não tem ninguém na recepção em horários de pico.",negative
"Turma de zumba foi cancelada do nada.",negative
"O app travou no meio do treino guiado, perdi tudo.",negative
"Musculação muito cheia, não dá pra usar nada direito.",negative
"Prometeram nutricionista e nunca teve.",negative
"Alarme de emergência disparou sozinho, que confusão!",negative
"Instrutor falando no celular durante a aula, lamentável.",negative
"A limpeza dos banheiros deixa a desejar.",negative
"É uma academia como qualquer outra","neutral"
"Treino porque é perto de casa, nada demais","neutral"
"Nem ruim nem bom, apenas funcional","neutral"
"O ambiente é razoável","neutral"
"Faço meus treinos e vou embora, sem interação","neutral"
"Não tenho opinião formada ainda","neutral"
"Uso mais por conveniência do que por qualidade","neutral"
"As aulas são ok, nada que se destaque","neutral"
"Cumpre o básico, mas poderia ser melhor","neutral"
"É um local comum para treinar","neutral"
"Não é ruim, mas esperava mais","neutral"
"Não tive experiências marcantes até agora","neutral"
"A estrutura atende, mas não surpreende","neutral"
"Não notei grande diferença em relação à minha antiga academia","neutral"
"As instalações são medianas","neutral"
"Vou mais pelo preço do que pelo serviço","neutral"
"Atende à proposta, sem grandes destaques","neutral"
"É uma academia comum, como outras da região","neutral"
"Faz o que promete, sem encantar","neutral"
"Frequento por costume","neutral"
"Funciona para o que eu preciso","neutral"
"O serviço prestado é suficiente","neutral"
"A academia é ok, sem pontos fortes ou fracos","neutral"
"Não é excelente, mas também não é ruim","neutral"
"Costumo ir quando dá tempo","neutral"
"Falta algo para me conquistar, mas é aceitável","neutral"
"Faço treinos simples, então está bom","neutral"
"Me atende por enquanto","neutral"
"Não me marcou negativamente nem positivamente","neutral"
"Sem queixas nem elogios por enquanto","neutral"
"Hoje teve treino de perna? Nem avisaram...","neutral"
"Tava esperando a aula de dança, mas mudaram pra pilates e não avisaram.","neutral"
"Os horários às vezes batem com minha rotina, às vezes não.","neutral"
"A academia é ok, nada demais.","neutral"
"Fui lá só pra conhecer, ainda tô pensando se vou fechar o plano.","neutral"
"O instrutor explicou, mas não entendi muita coisa, talvez eu esteja disperso.","neutral"
"O ambiente é tranquilo, mas achei meio parado hoje.","neutral"
"Fui em um horário diferente, tava mais vazio do que eu esperava.","neutral"
"Achei a playlist meio esquisita, mas isso é gosto pessoal.","neutral"
"Comecei essa semana, ainda tô pegando o ritmo.","neutral"
"Foi um treino comum, nada fora do normal.","neutral"
"A recepção tava um pouco cheia, mas fui atendido.","neutral"
"Hoje eu fui só pra alongar, tava cansado.","neutral"
"Tava tudo certo, só achei meio abafado lá dentro.","neutral"
"Achei o app confuso, mas consegui marcar.","neutral"
"Cheguei atrasado então perdi metade do treino, vacilei.","neutral"
"A aula foi diferente hoje, não sei se gostei ainda.","neutral"
"O professor mudou a sequência do treino, foi estranho.","neutral"
"Treinei com outro grupo hoje, o ritmo foi diferente.","neutral"
"O aplicativo atualizou e agora ficou confuso demais.","neutral"
"Tentei usar o app ontem, mas a internet lá tava ruim.","neutral"
"A aula de hoje foi meio devagar, mas serviu pra relaxar.","neutral"
"Fiz só um cardio leve hoje, nada demais.","neutral"
"Treino foi normal, sem novidades.","neutral"
"O app é ok, mas podia ter uma parte com dicas de nutrição.","neutral"
"Cheguei meio atrasado e perdi o começo, mas deu pra acompanhar.","neutral"
"Hoje fui treinar e a turma tava bem cheia, difícil interagir.","neutral"
"Testei uma aula nova, mas ainda não decidi se vou continuar.","neutral"
"O professor é bom, mas fala muito rápido.","neutral"
"O ambiente é agradável, mas a música podia ser mais animada.","neutral"
"Achei o treino repetitivo hoje, talvez seja o cronograma.","neutral"
"Usei o app pra ver horários, mas preferi marcar pessoalmente.","neutral"
"Agendei mas esqueci de ir, culpa minha.","neutral"
"Experimentei pilates, mas prefiro musculação.","neutral"
"Fui com meu amigo hoje, mas ele não curtiu muito.","neutral"
"Achei o vestiário meio apertado, mas nada demais.","neutral"
"O app funciona, mas podia ser mais bonito visualmente.","neutral"
"Hoje só fui pra dar uma esticada nas pernas, mais pra manter o hábito.","neutral"
"Treinei de manhã, mas tava meio sonolento ainda, rs.",neutral
"Hoje não tava tão animado, só fiz esteira mesmo.",neutral
"Treino meio fraco hoje, mas pelo menos fui.",neutral
"A interface do app podia melhorar, mas dá pro gasto.",neutral
"Não sei se gostei da aula de hoje ou não, tô pensando ainda.",neutral
"Os treinos estão ok, nada demais.",neutral
"Uso o app mais pra ver horários do que pra treinar.",neutral
"Aparelhos funcionam, mas alguns fazem barulho estranho.",neutral
"O ambiente é bom, mas faltou um pouco de atenção dos instrutores.",neutral
"Hoje o treino foi tranquilo, sem destaque.",neutral
"Academia lotada como sempre nesse horário.",neutral
"App serviu pra lembrar do treino só, mas não usei mais nada.",neutral
"Sem grandes novidades hoje no treino.",neutral
"O feedback é neutro hoje, nada chamou atenção.",neutral
"Aplicativo até que funciona, mas não é lá essas coisas.",neutral
"Vestiário tava limpo, o que é bom.",neutral
"Achei ok o atendimento, nada excepcional.",neutral
"Hoje só fui pra não quebrar a rotina.",neutral
"App é útil, mas podia ter mais gráficos.",neutral
"Treino meio repetitivo, acho que preciso mudar a série.",neutral
"Recebi um treino novo, mas não entendi muito bem ainda.",neutral
"App funciona, mas precisa de ajustes ainda.",neutral
"Hoje fiquei mais no alongamento mesmo.",neutral
"Ambiente calmo, mas senti falta de mais dinamismo.",neutral
"Aplicativo tem delay às vezes, nada grave.",neutral
"Aula de pilates foi leve, talvez até demais.",neutral
"Dia meio chuvoso, pouca gente na academia.",neutral
"Horário das aulas poderia ser mais flexível.",neutral
"Instrutor novo é simpático, ainda vou ver se ensina bem.",neutral
"Dei uma olhada no app mas não usei muito ainda.",neutral
"Hoje não teve nada de diferente no treino.",neutral
